군번,이름,1지망 특기번호,1지망 점수,2지망 특기번호,2지망 점수,3지망 특기번호,3지망 점수,색맹 여부,아토피 여부,16110,17110,18110,18111,18210,18310,25110,46110,46111,46112,46210,55110,55610,55910,67110,70110,80110,80210,81110
25-70011358,라파엘라파,81110,853978.88,16110,851564.78,17110,853235.31,,,,,,,,,,,,,,,,,,,,,
25-70011359,박주원,81110,851957.14,16110,854035.45,17110,854293.55,,,,,,,,,,,,,,,,,,,,,
25-70011360,송유준,81110,851421.38,16110,853507.83,17110,852788.04,,,,,,,,,,,,,,,,,,,,,
25-70011361,한서준,81110,854650.90,16110,854049.18,17110,852392.75,,,,,,,,,,,,,,,,,,,,,
25-70011362,김현준,81110,854593.87,16110,854461.24,17110,854409.11,,,,,,,,,,,,,,,,,,,,,
25-70011363,황준서,81110,854630.41,16110,852500.56,17110,852118.02,,,,,,,,,,,,,,,,,,,,,
25-70011364,김건우,81110,853761.58,16110,851051.90,17110,851123.64,,,,,,,,,,,,,,,,,,,,,
25-70011365,김서진,81110,851209.34,16110,851451.73,17110,853989.42,,,,,,,,,,,,,,,,,,,,,
25-70011366,홍건우,81110,854567.39,16110,854826.23,17110,854825.01,,,,,,,,,,,,,,,,,,,,,
25-70011367,정민준,81110,852912.29,16110,854681.31,17110,851818.47,,,,,,,,,,,,,,,,,,,,,
25-70011368,안시우,81110,853752.35,16110,851738.29,17110,853278.69,,,,,,,,,,,,,,,,,,,,,
25-70011369,송예준,81110,852230.58,16110,854411.76,17110,852592.09,,,,,,,,,,,,,,,,,,,,,
25-70011370,박지호,81110,852231.58,16110,854597.63,17110,852434.47,,,,,,,,,,,,,,,,,,,,,
25-70011371,박서진,81110,852453.80,16110,854213.86,17110,851808.70,,,,,,,,,,,,,,,,,,,,,
25-70011372,안지호,81110,854717.45,16110,854538.26,17110,852428.24,,,,,,,,,,,,,,,,,,,,,
25-70011373,임예준,81110,888000.00,16110,851508.02,17110,854311.28,,,,,,,,,,,,,,,,,,,,,
25-70011374,조서준,81110,852141.12,16110,854127.84,17110,852094.99,,,,,,,,,,,,,,,,,,,,,
