군번,이름,1지망 특기번호,1지망 점수,2지망 특기번호,2지망 점수,3지망 특기번호,3지망 점수,색맹 여부,아토피 여부,16110,17110,18110,18111,18210,18310,25110,46110,46111,46112,46210,55110,55610,55910,67110,70110,80110,80210,81110
25-70011358,라파엘라파,80110,867587.07,18310,223452.44,55610,223248.23,,,,,,,,,,,,,,,,,,,,,
25-70011359,조유준,46111,867362.39,18110,223277.59,16110,661013.09,,,,,,,,,,,,,,,,,,,,,
25-70011360,권준우,46210,867557.31,18110,661085.35,80210,867184.46,,,,,,,,,,,,,,,,,,,,,
25-70011361,윤주원,18210,223349.39,18310,661190.69,46110,867377.73,,,,,,,,,,,,,,,,,,,,,
25-70011362,전준우,70110,223453.29,46111,661534.46,18210,867400.76,,,,,,,,,,,,,,,,,,,,,
25-70011363,한예준,46111,223753.25,18110,661270.74,80110,661526.58,,,,,,,,,,,,,,,,,,,,,
25-70011364,윤도현,70110,867551.72,80210,223231.07,67110,223505.51,,,,,,,,,,,,,,,,,,,,,
25-70011365,이현우,46111,223720.81,18210,223243.17,80110,661603.20,,,,,,,,,,,,,,,,,,,,,
25-70011366,강서준,70110,661293.15,80210,661013.00,17110,223735.90,,,,,,,,,,,,,,,,,,,,,
25-70011367,김현우,70110,867421.42,17110,661910.62,80110,867341.82,,,,,,,,,,,,,,,,,,,,,
25-70011368,오민재,18111,867345.19,18310,661362.76,46111,867294.47,,,,,,,,,,,,,,,,,,,,,
25-70011369,임서진,80210,661565.78,67110,223894.55,18110,867484.78,,,,,,,,,,,,,,,,,,,,,
25-70011370,권건우,46110,867257.89,67110,661645.05,55610,661984.40,,,,,,,,,,,,,,,,,,,,,
25-70011371,전현우,46110,223822.58,18110,867815.05,18210,867274.06,,,,,,,,,,,,,,,,,,,,,
25-70011372,홍도현,46111,223106.58,46210,661136.89,70110,867266.50,,,,,,,,,,,,,,,,,,,,,
25-70011373,정연우,67110,888000.00,18111,223838.11,46210,223383.14,,1,2038.94,223511.64,2563.40,2414.82,223586.94,223069.33,223756.73,223676.13,223389.23,2569.48,223928.18,2371.49,2527.68,223469.29,223981.12,2861.05,2715.10,223504.00,2454.76
25-70011374,조지후,46110,223184.37,16110,867603.15,18110,661068.25,,,,,,,,,,,,,,,,,,,,,
25-70011375,조현준,70110,223297.12,25110,223949.31,80110,223663.67,,,,,,,,,,,,,,,,,,,,,
25-70011376,최우진,80210,223262.26,67110,223841.53,18111,867496.37,,,,,,,,,,,,,,,,,,,,,
25-70011377,송지후,46111,867344.38,18210,867412.79,67110,867688.40,,,,,,,,,,,,,,,,,,,,,
25-70011378,이유준,25110,867002.34,18111,223272.15,70110,661103.09,,,,,,,,,,,,,,,,,,,,,
25-70011379,권주원,18210,867950.24,70110,223521.30,80210,661958.17,,,,,,,,,,,,,,,,,,,,,
25-70011380,오지호,67110,661980.58,46210,661489.42,55110,223693.18,,,,,,,,,,,,,,,,,,,,,
25-70011381,권도현,16110,867180.58,46210,867473.21,46111,223033.95,,,,,,,,,,,,,,,,,,,,,
25-70011382,신민재,55110,661421.76,18210,867474.21,80210,661054.88,,,,,,,,,,,,,,,,,,,,,
25-70011383,최현준,25110,661596.27,46110,223560.68,46210,138.33,,,,,,,,,,,,,,,,,,,,,
25-70011384,윤예준,55110,2572.43,18310,2539.49,67110,223661.66,1,1,2362.43,2373.12,223925.05,2500.36,223644.26,223648.64,2554.69,223635.94,2413.83,2705.14,2579.73,223837.37,2060.60,2779.10,223171.43,223838.15,2685.70,2535.94,2953.54
25-70011385,이하준,67110,661417.51,46110,223870.10,25110,661000.24,,,,,,,,,,,,,,,,,,,,,
25-70011386,임예준,18110,223997.93,18310,2052.68,80210,223401.93,1,1,223153.69,223833.79,2921.31,2740.56,2354.92,2702.64,223423.34,2915.67,2880.97,2690.68,223211.23,223976.19,2196.65,223800.07,2802.64,223200.55,223897.37,223603.04,223465.01
25-70011387,송현우,46110,223398.29,46210,661417.77,80110,223522.52,,,,,,,,,,,,,,,,,,,,,
25-70011388,이준서,67110,661852.82,16110,661233.61,25110,867277.27,,,,,,,,,,,,,,,,,,,,,
25-70011389,최우진,80110,223679.65,16110,2956.42,17110,223786.35,1,,223775.91,2335.28,223435.39,2816.97,2891.89,223085.10,223789.41,223210.79,2474.95,2268.56,2074.82,223147.28,223985.30,223967.76,2008.71,223798.29,2630.58,223232.51,2826.62
25-70011390,황건우,17110,661600.80,25110,661613.41,80110,867743.35,,,,,,,,,,,,,,,,,,,,,
25-70011391,윤우진,16110,661607.74,18310,867120.34,70110,223176.53,,,,,,,,,,,,,,,,,,,,,
25-70011392,윤서진,18111,661800.77,18110,661969.10,67110,867518.26,,,,,,,,,,,,,,,,,,,,,
25-70011393,서현준,46111,223758.24,46110,661996.34,18111,223815.83,,,,,,,,,,,,,,,,,,,,,
25-70011394,권지훈,18111,661860.13,46110,223877.46,46210,223272.96,,,,,,,,,,,,,,,,,,,,,
25-70011395,장건우,46110,661809.52,16110,867550.86,70110,223281.39,,,,,,,,,,,,,,,,,,,,,
