군번,이름,1지망 특기번호,1지망 점수,2지망 특기번호,2지망 점수,3지망 특기번호,3지망 점수,색맹 여부,아토피 여부,16110,17110,18110,18111,18210,18310,25110,46110,46111,46112,46210,55110,55610,55910,67110,70110,80110,80210,81110
25-70011358,라파엘라파,67110,203636.86,80110,201787.40,17110,661787.85,,1,1136.73,623893.68,203018.58,801630.02,1931.40,601274.70,601139.90,201658.00,801142.40,223271.97,661461.37,661882.11,861342.04,201865.68,1206.47,801597.45,663436.48,1479.68,1117.12
25-70011359,강주원,46110,667484.97,18210,203991.69,25110,601063.19,,,,,,,,,,,,,,,,,,,,,
25-70011360,홍민재,25110,203624.76,80110,623623.61,46110,203714.94,,,,,,,,,,,,,,,,,,,,,
25-70011361,신건우,46210,1431.79,18111,1379.06,70110,623149.14,,,,,,,,,,,,,,,,,,,,,
25-70011362,정준우,80110,601823.69,46110,1820.90,17110,867966.78,1,,1529.22,223184.96,223280.35,201912.80,601028.77,663343.01,807087.17,221089.49,601294.32,823328.01,1847.35,801598.62,203335.68,1183.39,201599.95,663286.95,1685.74,223891.02,801544.04
25-70011363,박지훈,18310,807589.90,25110,1747.48,18210,221077.45,1,,1534.11,807413.26,1530.50,621326.83,821042.52,801476.92,661092.71,663545.63,1854.15,823882.35,221602.79,203505.06,861671.14,661471.35,1082.98,861760.11,801078.61,221536.28,807305.45
25-70011364,이도현,80210,861054.52,16110,661585.06,46110,601857.14,,,,,,,,,,,,,,,,,,,,,
25-70011365,강지훈,18110,601856.28,18310,823186.08,46110,223565.22,,,,,,,,,,,,,,,,,,,,,
25-70011366,안연우,25110,867707.83,67110,663129.13,80210,661754.54,,,,,,,,,,,,,,,,,,,,,
25-70011367,서시우,70110,621339.91,80210,201191.93,16110,663884.80,,,,,,,,,,,,,,,,,,,,,
25-70011368,장도현,18310,801642.80,18111,1303.86,17110,221520.24,,,,,,,,,,,,,,,,,,,,,
25-70011369,강지후,67110,801339.91,25110,623072.53,80210,203239.10,,,,,,,,,,,,,,,,,,,,,
25-70011370,홍지후,80210,661248.38,46210,621569.47,80110,663897.22,,,,,,,,,,,,,,,,,,,,,
25-70011371,박주원,17110,601693.37,18110,201480.16,46111,221964.89,,,,,,,,,,,,,,,,,,,,,
25-70011372,권선우,18111,201537.69,80110,861716.86,67110,623915.85,,,,,,,,,,,,,,,,,,,,,
25-70011373,권서준,25110,888000.00,18310,821732.68,70110,1988.47,,,,,,,,,,,,,,,,,,,,,
25-70011374,오민준,46110,867927.39,18310,601840.54,18110,861541.49,1,,667647.02,801716.81,221209.50,201536.87,821142.57,663373.34,1098.41,1653.03,201052.15,661503.17,1596.84,601390.72,667927.65,823286.66,203782.50,661597.80,621127.27,823528.14,801280.93
25-70011375,조준서,18210,1931.39,46110,807366.63,16110,203634.37,,,,,,,,,,,,,,,,,,,,,
25-70011376,정우진,70110,867484.13,67110,867098.38,46210,1503.55,,,,,,,,,,,,,,,,,,,,,
25-70011377,김민재,46110,621938.22,70110,1214.76,18111,823982.99,,,,,,,,,,,,,,,,,,,,,
25-70011378,최우진,25110,801714.60,80210,807811.51,18111,821550.06,,,,,,,,,,,,,,,,,,,,,
25-70011379,권현우,17110,201337.29,18310,203925.03,70110,661688.09,,,,,,,,,,,,,,,,,,,,,
25-70011380,정우진,80210,601572.35,18210,623375.91,16110,223593.59,,,,,,,,,,,,,,,,,,,,,
25-70011381,신하준,70110,861989.85,16110,601791.64,18310,201520.67,,,,,,,,,,,,,,,,,,,,,
25-70011382,신현우,46210,221004.22,18310,201013.52,16110,667412.20,,,,,,,,,,,,,,,,,,,,,
25-70011383,강우진,17110,1308.63,18110,667811.07,46110,138.33,,,,,,,,,,,,,,,,,,,,,
25-70011384,이시우,17110,203330.21,18310,663516.18,46111,201797.68,,,,,,,,,,,,,,,,,,,,,
25-70011385,장민준,18310,801159.13,80210,661589.99,46111,601952.81,1,,807552.63,1013.53,661901.86,223692.20,601726.16,667024.68,203287.32,801621.04,601291.67,861950.80,801863.76,821858.06,821787.99,221651.62,203400.74,807950.35,601089.02,621640.66,221810.52
25-70011386,정민재,80110,1553.64,70110,661206.82,46111,201954.16,,,,,,,,,,,,,,,,,,,,,
25-70011387,최도윤,18110,661441.22,18210,1689.34,18111,1348.12,,,,,,,,,,,,,,,,,,,,,
25-70011388,전지후,46111,823446.79,18111,223626.21,16110,1326.06,,,,,,,,,,,,,,,,,,,,,
25-70011389,안지호,16110,1196.97,67110,801846.27,18111,807800.68,,,,,,,,,,,,,,,,,,,,,
25-70011390,전서준,67110,223373.53,18111,201934.05,16110,801415.19,,,,,,,,,,,,,,,,,,,,,
25-70011391,윤하준,70110,667685.58,46210,867756.46,18110,601326.20,,,,,,,,,,,,,,,,,,,,,
25-70011392,강선우,80110,821691.93,18310,203495.16,16110,801009.59,1,,601831.19,861542.27,663438.63,807055.61,823416.54,201065.29,1957.17,1226.41,661501.15,221939.90,1855.38,663024.21,621934.22,1465.38,823586.82,201610.52,623983.43,801955.43,223023.37
25-70011393,윤선우,18110,801530.16,17110,601786.84,46111,801740.48,,,,,,,,,,,,,,,,,,,,,
25-70011394,권연우,46210,203988.94,46110,601291.40,67110,203963.13,,,,,,,,,,,,,,,,,,,,,
25-70011395,안지후,18110,623958.27,18310,201930.83,80210,861307.24,,,,,,,,,,,,,,,,,,,,,
25-70011396,송민재,80110,201261.69,80210,601613.41,46210,1071.64,,,,,,,,,,,,,,,,,,,,,
25-70011397,김현준,70110,667316.28,18310,661750.83,46111,601458.81,,,,,,,,,,,,,,,,,,,,,
25-70011398,한지호,17110,823273.34,18310,807634.52,16110,203458.49,,,,,,,,,,,,,,,,,,,,,
25-70011399,오시우,80110,1975.51,16110,201016.38,67110,221252.27,,,,,,,,,,,,,,,,,,,,,
25-70011400,오지훈,80110,667491.11,25110,221173.03,46110,823810.91,,,,,,,,,,,,,,,,,,,,,
25-70011401,전선우,17110,821230.31,18310,601076.16,18111,663288.90,,,,,,,,,,,,,,,,,,,,,
25-70011402,장준서,18111,1511.32,17110,861148.66,70110,807873.18,,,,,,,,,,,,,,,,,,,,,
25-70011403,신서준,25110,1694.72,70110,623278.53,80210,801129.90,,,,,,,,,,,,,,,,,,,,,
25-70011404,임지훈,46110,201314.15,18210,663038.17,18310,861530.63,,,,,,,,,,,,,,,,,,,,,
25-70011405,조도윤,18310,661295.09,46111,801237.53,67110,867192.58,,,,,,,,,,,,,,,,,,,,,
